sample_id,polymer_type,quality_grade,recyclability_score,recycling_pathway,contamination_flag,contamination_note,degradation_level,carbon_footprint_class,dpp_eligible,reasoning,recommended_action,reasoning_source,Predicted Density,Predicted Crystallinity,Predicted SCB,confidence_pct,edge_case_flag,edge_case_notes
H0001ULDPE,LDPE,B,60,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The assigned Quality Grade of B for H0001ULDPE is due to its moderate degradation, indicated by the density (0.9174 g/cm3), crystallinity (0.3756), and SCB (18.9 CH3/1000C). These values suggest that while the LDPE has some degree of degradation, it remains suitable for mixed film streams in general flexible packaging recycling applications.",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9174,0.3756,18.9,84,False,
H0002LDPE,LDPE,B,63,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The assigned Quality Grade of B for this LDPE sample is due to its moderate crystallinity (0.3872), indicating a balance between mechanical properties and processability. The presence of short chain branches (SCB) at 30.7 CH3/1000C suggests some degradation, which aligns with the noted moderate degradation level. This sample is suitable for mixed film stream recycling, general flexible packaging processes.",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9193,0.3872,30.7,85,False,
H0003LDPE,LDPE,B,65,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The sample H0003LDPE is assigned Quality Grade B due to its moderate degradation, indicated by the density of 0.9139 g/cm3 and crystallinity of 0.3813. The presence of short chain branches (SCB) at 29.2 CH3/1000C suggests some degradation, but it remains suitable for mixed film stream recycling in general flexible packaging processes.",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9139,0.3813,29.2,88,False,
H0004LLDPE,LDPE,A,95,Clean film stream — suitable for film-to-film recycling,False,,Moderate,Low,True,"The high density of 0.9136 g/cm3 and moderate crystallinity of 0.4136 indicate that the LDPE sample is of good quality, consistent with an A-grade assignment. The presence of 20.1 short chain branches per 1000 carbon atoms suggests a balance between molecular weight distribution and processability, further supporting its suitability for film-to-film recycling in clean applications.",Route to clean film stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9136,0.4136,20.1,93,True,Crystallinity 0.4136 within 0.0136 of Grade A boundary (0.40) — grade assignment borderline
H0005LLDPE,LDPE,B,62,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The sample H0005LLDPE is assigned Quality Grade B due to its moderate degradation, indicated by the density of 0.9185 g/cm3 and crystallinity of 0.3610. The presence of short chain branches (SCB) at 25.8 CH3/1000C suggests some degree of oxidative degradation, which aligns with the moderate degradation assessment. This sample is suitable for mixed film stream recycling, specifically in general flexible packaging processes",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9185,0.361,25.8,85,False,
H0006MDPE,MDPE,A,88,Clean film / flexible packaging stream,False,,Low,Low,True,"The high density of 0.9391 g/cm3 indicates good polymer purity, supporting the A-grade assignment. The low crystallinity of 0.5249 and moderate short chain branching (SCB) of 19.7 CH3/1000C suggest minimal degradation, aligning with the low degradation assessment. These properties make it suitable for the clean film/flexible packaging stream.",Route to clean film stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9391,0.5249,19.7,98,False,
H0007HDPE,HDPE,A,90,Premium food-grade HDPE stream — PCR eligible for food-contact applications,False,,Low,Low,True,"The high density of 0.9499 g/cm3 and crystallinity of 0.5598 indicate that the HDPE sample is of premium quality, suitable for food-contact applications. The low SCB value of 10.1 CH3/1000C further supports its purity, making it an ideal candidate for the Premium food-grade HDPE stream in recycling processes.",Route to premium HDPE stream — eligible for food-contact PCR certification. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9499,0.5598,10.1,82,True,"Density 0.9499 only 0.0019 g/cm³ above HDPE boundary (0.948) — possible MDPE/LLDPE, flag for secondary confirmation | Crystallinity 0.5598 within 0.0098 of Grade A boundary (0.55) — grade assignment borderline"
H0008HDPE,HDPE,A,85,Premium food-grade HDPE stream — PCR eligible for food-contact applications,False,,Low,Low,True,"The high density of 0.9520 g/cm3 indicates pure HDPE, while the crystallinity of 0.6300 suggests a well-ordered structure. The low short chain branching (SCB) count of 14.1 CH3/1000C implies minimal impurities or degradation, contributing to the premium food-grade quality grade and PCR eligibility for food-contact applications.",Route to premium HDPE stream — eligible for food-contact PCR certification. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.952,0.63,14.1,92,True,"Density 0.9520 only 0.0040 g/cm³ above HDPE boundary (0.948) — possible MDPE/LLDPE, flag for secondary confirmation | SCB 14.1 elevated above pure HDPE range (2–12) — possible 5–10% LLDPE content, flag before food-contact use"
H0009PP,PP,A,87,"Polypropylene stream — packaging reuse, food-contact eligible",True,,Moderate,Low,True,"The sample H0009PP is assigned Quality Grade A due to its high density of 0.9014 g/cm3, indicative of pure polypropylene, and moderate crystallinity at 0.4138, suggesting good mechanical properties. The presence of 294.5 SCB (short chain branches) per 1000 carbon atoms indicates minimal branching, contributing to the overall high quality suitable for polypropylene packaging reuse and food-contact applications.",Route to polypropylene packaging reuse stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9014,0.4138,294.5,98,False,
N1473LDPE,LDPE,B,64,Mixed film stream — general flexible packaging recycling,False,,High,Medium,False,"The assigned Quality Grade of B for N1473LDPE is due to its relatively low density (0.9159 g/cm3), indicating a higher content of short chain branches (SCBs) at 26.3 CH3/1000C, which reduces crystallinity to 0.3010. This combination suggests degradation, making it suitable for mixed film stream recycling in general flexible packaging applications.",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9159,0.301,26.3,75,True,Crystallinity 0.3010 within 0.0010 of Grade B boundary (0.30) — grade assignment borderline
N1474HDPE,LDPE,A,95,Clean film stream — suitable for film-to-film recycling,False,,Low,Low,True,"The high density of 0.9177 g/cm3 and low crystallinity of 0.4637 indicate that the sample is a low-density polyethylene (LDPE), which is consistent with the given polymer type. The relatively low short chain branching (SCB) count of 17.1 CH3/1000C suggests minimal branching, contributing to its excellent mechanical properties and suitability for film-to-film recycling in clean film streams.",Route to clean film stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9177,0.4637,17.1,98,True,SCB 17.1 below typical LDPE range (18–35) — possible LLDPE content
N1476LDPE,LDPE,B,55,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The assigned Quality Grade of B for N1476LDPE is due to its moderate degradation level, indicated by the density of 0.9152 g/cm3 and crystallinity of 0.3521, which suggests some loss in molecular weight. The presence of 23.5 short chain branches per 1000 carbon atoms further supports this assessment, as it implies a degree of chain scission and recombination events during processing or storage. This sample is suitable for mixed film stream recycling,",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9152,0.3521,23.5,86,False,
S0011PP,PP,A,90,"Polypropylene stream — packaging reuse, food-contact eligible",True,,Moderate,Low,True,"The assigned Quality Grade of 'A' for Sample S0011PP is justified by its high density (0.9096 g/cm3), indicating purity and minimal contamination. The moderate crystallinity (0.4034) suggests a balanced blend of amorphous and crystalline regions, contributing to mechanical strength and processability. The short chain branching (SCB) count of 304.8 CH3/1000C implies good flow properties during processing, further supporting the",Route to polypropylene packaging reuse stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9096,0.4034,304.8,91,True,Crystallinity 0.4034 within 0.0234 of Grade A boundary (0.38) — grade assignment borderline
S0024LDPE,LDPE,A,96,Clean film stream — suitable for film-to-film recycling,False,,Moderate,Low,True,"The high density of 0.9161 g/cm3 and moderate crystallinity of 0.4295 indicate that the LDPE sample is relatively pure and has good mechanical properties, contributing to its A-grade quality. The short chain branching (SCB) value of 25.2 CH3/1000C suggests some degree of branching, which may affect processing but does not significantly detract from the overall quality, making it suitable for film-to-film recycling in a clean film stream.",Route to clean film stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9161,0.4295,25.2,95,True,Crystallinity 0.4295 within 0.0295 of Grade A boundary (0.40) — grade assignment borderline
S0036RPP,PP,B,74,Polypropylene stream — industrial reuse only,True,,Moderate,Medium,True,"The sample S0036RPP, identified as polypropylene (PP), has been assigned a Quality Grade of B due to its moderate degradation level. Its density (0.9116 g/cm3) and crystallinity (0.3770) fall within acceptable ranges for industrial reuse. The presence of short chain branches (SCB) at 302.5 CH3/1000C indicates some molecular weight reduction but remains suitable for industrial applications.",Route to PP industrial stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9116,0.377,302.5,83,False,
S0040HDPE,HDPE,A,94,Premium food-grade HDPE stream — PCR eligible for food-contact applications,False,,Low,Low,True,"The high density of 0.9524 g/cm3 and crystallinity of 0.6085 indicate excellent mechanical properties, while the low SCB count of 15.6 CH3/1000C suggests minimal branching. These factors collectively contribute to the premium food-grade quality grade assignment, making it suitable for PCR in food-contact applications with low degradation.",Route to premium HDPE stream — eligible for food-contact PCR certification. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9524,0.6085,15.6,91,True,"Density 0.9524 only 0.0044 g/cm³ above HDPE boundary (0.948) — possible MDPE/LLDPE, flag for secondary confirmation | SCB 15.6 elevated above pure HDPE range (2–12) — possible 5–10% LLDPE content, flag before food-contact use"
